grid_size,n_search_robots,requested_distance_shell,spawn_position_id,algorithm_seed,target_x,target_y,search_robot_id,search_start_x,search_start_y,initial_distance,time_to_attractive_detection,distance_at_detection,mode_switch_step,found,steps_to_target,time_from_detection_to_target,path_efficiency,post_detection_path_efficiency,convergence_rate,stagnation_count,post_detection_stagnation_count,final_distance
50,2,50,4,544506,25,25,2,0,49,49,89.0,9.0,89.0,0,,,,,,24,0,2
50,2,50,4,544507,25,25,1,0,1,49,43.0,7.0,43.0,1,48.0,5.0,1.0208333333333333,1.4,1.2,0,0,1
50,2,50,4,544507,25,25,2,0,49,49,43.0,7.0,43.0,0,,,,,,0,0,2
50,2,50,4,544508,25,25,1,0,1,49,183.0,15.0,183.0,1,196.0,13.0,0.25,1.1538461538461537,1.0769230769230769,74,0,1
50,2,50,4,544508,25,25,2,0,49,49,183.0,17.0,183.0,0,,,,,,75,0,4
50,2,50,4,544509,25,25,1,0,1,49,,,,0,,,,,,135,0,29
50,2,50,4,544509,25,25,2,0,49,49,278.0,14.0,278.0,1,290.0,12.0,0.16896551724137931,1.1666666666666667,1.0833333333333333,121,0,1
50,2,50,4,544510,25,25,1,0,1,49,,,,0,,,,,,135,0,29
50,2,50,4,544510,25,25,2,0,49,49,278.0,14.0,278.0,1,290.0,12.0,0.16896551724137931,1.1666666666666667,1.0833333333333333,121,0,1
50,3,20,1,545201,25,25,1,6,24,20,16.0,5.0,16.0,1,19.0,3.0,1.0526315789473684,1.6666666666666667,1.3333333333333333,0,0,1
50,3,20,1,545201,25,25,2,45,25,20,,,,0,,,,,,18,0,38
50,3,20,1,545201,25,25,3,5,25,20,,,,0,,,,,,18,0,38
50,3,20,1,545202,25,25,1,6,24,20,,,,0,,,,,,48,0,41
50,3,20,1,545202,25,25,2,45,25,20,69.0,8.0,69.0,1,75.0,6.0,0.26666666666666666,1.3333333333333333,1.1666666666666667,28,0,1
50,3,20,1,545202,25,25,3,5,25,20,69.0,10.0,69.0,0,,,,,,30,1,6
50,3,20,1,545203,25,25,1,6,24,20,119.0,8.0,119.0,1,125.0,6.0,0.16,1.3333333333333333,1.1666666666666667,53,0,1
50,3,20,1,545203,25,25,2,45,25,20,,,,0,,,,,,71,0,38
50,3,20,1,545203,25,25,3,5,25,20,,,,0,,,,,,68,0,32
50,3,20,1,545204,25,25,1,6,24,20,63.0,6.0,63.0,1,67.0,4.0,0.29850746268656714,1.5,1.25,24,0,1
50,3,20,1,545204,25,25,2,45,25,20,63.0,8.0,63.0,0,,,,,,25,0,4
50,3,20,1,545204,25,25,3,5,25,20,,,,0,,,,,,41,0,36
50,3,20,1,545205,25,25,1,6,24,20,,,,0,,,,,,19,0,39
50,3,20,1,545205,25,25,2,45,25,20,17.0,4.0,17.0,1,19.0,2.0,1.0526315789473684,2.0,1.5,0,0,1
50,3,20,1,545205,25,25,3,5,25,20,,,,0,,,,,,18,0,38
50,3,20,1,545206,25,25,1,6,24,20,,,,0,,,,,,49,0,43
50,3,20,1,545206,25,25,2,45,25,20,67.0,10.0,67.0,1,75.0,8.0,0.26666666666666666,1.25,1.125,28,0,1
50,3,20,1,545206,25,25,3,5,25,20,69.0,10.0,69.0,0,,,,,,31,2,7
50,3,20,1,545207,25,25,1,6,24,20,,,,0,,,,,,103,0,39
50,3,20,1,545207,25,25,2,45,25,20,173.0,18.0,173.0,0,,,,,,85,0,3
50,3,20,1,545207,25,25,3,5,25,20,171.0,18.0,171.0,1,187.0,16.0,0.10695187165775401,1.125,1.0625,84,0,1
50,3,20,1,545208,25,25,1,6,24,20,67.0,10.0,67.0,1,75.0,8.0,0.26666666666666666,1.25,1.125,28,0,1
50,3,20,1,545208,25,25,2,45,25,20,67.0,12.0,67.0,0,,,,,,29,0,4
50,3,20,1,545208,25,25,3,5,25,20,,,,0,,,,,,49,0,44
50,3,20,1,545209,25,25,1,6,24,20,16.0,5.0,16.0,1,19.0,3.0,1.0526315789473684,1.6666666666666667,1.3333333333333333,0,0,1
50,3,20,1,545209,25,25,2,45,25,20,17.0,4.0,17.0,0,,,,,,0,0,2
50,3,20,1,545209,25,25,3,5,25,20,,,,0,,,,,,18,0,38
50,3,20,1,545210,25,25,1,6,24,20,16.0,5.0,16.0,1,19.0,3.0,1.0526315789473684,1.6666666666666667,1.3333333333333333,0,0,1
50,3,20,1,545210,25,25,2,45,25,20,17.0,4.0,17.0,0,,,,,,0,0,2
50,3,20,1,545210,25,25,3,5,25,20,,,,0,,,,,,18,0,38
50,3,30,2,545301,25,25,1,0,20,30,191.0,18.0,191.0,1,207.0,16.0,0.14492753623188406,1.125,1.0625,89,0,1
50,3,30,2,545301,25,25,2,48,18,30,,,,0,,,,,,113,0,50
50,3,30,2,545301,25,25,3,0,30,30,,,,0,,,,,,107,0,38
50,3,30,2,545302,25,25,1,0,20,30,26.0,5.0,26.0,1,29.0,3.0,1.0344827586206897,1.6666666666666667,1.3333333333333333,0,0,1
50,3,30,2,545302,25,25,2,48,18,30,,,,0,,,,,,5,0,12
50,3,30,2,545302,25,25,3,0,30,30,27.0,4.0,27.0,0,,,,,,2,2,6
50,3,30,2,545303,25,25,1,0,20,30,187.0,18.0,187.0,1,203.0,16.0,0.1477832512315271,1.125,1.0625,87,0,1
50,3,30,2,545303,25,25,2,48,18,30,,,,0,,,,,,103,0,34
50,3,30,2,545303,25,25,3,0,30,30,,,,0,,,,,,103,0,34
50,3,30,2,545304,25,25,1,0,20,30,,,,0,,,,,,24,0,34
50,3,30,2,545304,25,25,2,48,18,30,,,,0,,,,,,21,0,28
50,3,30,2,545304,25,25,3,0,30,30,27.0,4.0,27.0,1,44.0,17.0,0.6818181818181818,0.23529411764705882,0.17647058823529413,8,8,1
50,3,30,2,545305,25,25,1,0,20,30,62.0,9.0,62.0,0,,,,,,20,0,3
50,3,30,2,545305,25,25,2,48,18,30,62.0,7.0,62.0,1,67.0,5.0,0.44776119402985076,1.4,1.2,19,0,1
50,3,30,2,545305,25,25,3,0,30,30,,,,0,,,,,,41,0,46
50,3,30,2,545306,25,25,1,0,20,30,,,,0,,,,,,44,0,43
50,3,30,2,545306,25,25,2,48,18,30,65.0,14.0,65.0,0,,,,,,24,0,3
50,3,30,2,545306,25,25,3,0,30,30,65.0,12.0,65.0,1,75.0,10.0,0.4,1.2,1.1,23,0,1
50,3,30,2,545307,25,25,1,0,20,30,,,,0,,,,,,44,0,43
50,3,30,2,545307,25,25,2,48,18,30,65.0,14.0,65.0,0,,,,,,24,0,3
50,3,30,2,545307,25,25,3,0,30,30,65.0,12.0,65.0,1,75.0,10.0,0.4,1.2,1.1,23,0,1
50,3,30,2,545308,25,25,1,0,20,30,258.0,17.0,258.0,1,273.0,15.0,0.10989010989010989,1.1333333333333333,1.0666666666666667,122,0,1
50,3,30,2,545308,25,25,2,48,18,30,,,,0,,,,,,131,0,20
50,3,30,2,545308,25,25,3,0,30,30,,,,0,,,,,,133,0,24
50,3,30,2,545309,25,25,1,0,20,30,26.0,5.0,26.0,1,29.0,3.0,1.0344827586206897,1.6666666666666667,1.3333333333333333,0,0,1
50,3,30,2,545309,25,25,2,48,18,30,,,,0,,,,,,18,0,38
50,3,30,2,545309,25,25,3,0,30,30,26.0,5.0,26.0,0,,,,,,0,0,2
50,3,30,2,545310,25,25,1,0,20,30,257.0,20.0,257.0,1,275.0,18.0,0.10909090909090909,1.1111111111111112,1.0555555555555556,123,0,1
50,3,30,2,545310,25,25,2,48,18,30,272.0,23.0,272.0,0,,,,,,132,0,20
50,3,30,2,545310,25,25,3,0,30,30,,,,0,,,,,,137,0,30
50,3,40,3,545401,25,25,1,0,10,40,52.0,9.0,52.0,0,,,,,,10,0,3
50,3,40,3,545401,25,25,2,48,8,40,52.0,7.0,52.0,1,57.0,5.0,0.7017543859649122,1.4,1.2,9,0,1
50,3,40,3,545401,25,25,3,0,40,40,,,,0,,,,,,31,0,46
50,3,40,3,545402,25,25,1,0,10,40,,,,0,,,,,,166,0,25
50,3,40,3,545402,25,25,2,48,8,40,,,,0,,,,,,168,0,29
50,3,40,3,545402,25,25,3,0,40,40,323.0,26.0,323.0,1,347.0,24.0,0.11527377521613832,1.0833333333333333,1.0416666666666667,154,0,1
